docker exec -it spark-jupyter python3 /opt/work/scripts/kafka_producer.py --delay 0.005
Found 12 parquet file(s)
Connected to Kafka  : kafka:9092
Topic               : network-traffic
Delay               : 0.005s (~200 rec/s)
Max records         : all

  Sent:  470,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  475,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  480,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  485,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  490,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  495,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  500,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  505,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  510,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  515,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  520,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  525,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  530,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  535,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  540,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  545,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  550,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  555,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  560,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  565,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  570,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  575,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  580,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  585,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  590,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  595,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  600,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  605,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  610,000  |  Failed: 0  |  Rate: 155 rec/s
  Sent:  615,000  |  Failed: 0  |  Rate: 155 rec/s
